uid,species,latitude,longitude,EVI,NDVI,SAVI,VH,VV,VV_VH_ratio,elevation,slope,dewpoint_temperature_2m,evaporation_from_bare_soil,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_the_top_of_canopy,evaporation_from_vegetation_transpiration,forecast_albedo,lake_bottom_temperature,lake_ice_depth,lake_ice_temperature,lake_mix_layer_depth,lake_mix_layer_temperature,lake_shape_factor,lake_total_layer_temperature,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,potential_evaporation,runoff,skin_reservoir_content,skin_temperature,snow_albedo,snow_cover,snow_density,snow_depth,snow_depth_water_equivalent,snow_evaporation,snowfall,snowmelt,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff,surface_latent_heat_flux,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_2m,temperature_of_snow_layer,total_evaporation,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
6042,Acacia,-4.5374288,39.139728,0.4760820045558087,0.2512623226737196,0.3768481788676524,-18.147270683169857,-12.8767346741662,0.7095686673207746,73,4.732798859726558,293.77660115559894,-0.000860134333682557,-0.0003156584765141209,-0.00041709795671825606,3.8805107275644936e-11,0.17853865151604018,297.923583984375,-273.15,4.221598309565403e-05,17.848388671874996,298.8111165364583,-272.4266069372496,25.246728515625023,3.30908203125,1.7384847005208333,-0.006105726584792137,4.1032520433266955e-06,6.649519006411231e-05,301.0899492899577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.89682388305664,301.8607292175293,301.813045501709,301.8528429667155,9.325643380482992e-07,-3983501.0,14909633.090413412,-4810241.333333333,100254.078125,3.1700668235619864e-06,-5874400.5,18155421.19498698,28933709.916666668,299.02441660563153,273.1601740519206,-0.001592890437071522,0.0012821139275729365,-0.9435153007507324,1.6556575298309326,0.1464055379231771,0.11589686075846355,0.10018666585286458,0.16963068644205728
5988,Eucalyptus,-4.5224921,39.1836801,0.7110319321666968,0.3340396228414027,0.5010063559322034,-16.98032417390973,-12.54802893064261,0.7389746392429103,30,1.3134900700638203,294.1348368326823,-0.0008902257347169021,-0.0002881548910712202,-0.0005486197187565267,-2.4202357356746993e-06,0.17000517373283705,297.5828450520833,-273.15,4.221598309565403e-05,29.090332031249996,298.3067220052083,-272.44682737588886,24.83868815104169,5.596466064453125,1.6836344401041667,-0.010519321697453657,5.969622482856114e-06,7.268041372299193e-05,300.34206517537433,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.13656997680664,301.107474009196,301.0477460225423,301.0875434875488,4.61315115292867e-07,-4324935.166666667,15129117.590413412,-4297861.458333333,100681.828125,5.507376044988632e-06,-6315434.833333333,18230714.028320312,29090542.666666668,299.11670176188153,273.1601740519206,-0.001729420735500753,0.0014855787286857474,-0.9811129570007324,1.7538834412892659,0.22802734375,0.19643402099609375,0.17586517333984375,0.23190816243489584
5985,Eucalyptus,-4.5224869,39.1836769,0.7110319321666968,0.3340396228414027,0.5010063559322034,-16.98032417390973,-12.54802893064261,0.7389746392429103,30,1.3134900700638203,294.1348368326823,-0.0008902257347169021,-0.0002881548910712202,-0.0005486197187565267,-2.4202357356746993e-06,0.17000517373283705,297.5828450520833,-273.15,4.221598309565403e-05,29.090332031249996,298.3067220052083,-272.44682737588886,24.83868815104169,5.596466064453125,1.6836344401041667,-0.010519321697453657,5.969622482856114e-06,7.268041372299193e-05,300.34206517537433,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.13656997680664,301.107474009196,301.0477460225423,301.0875434875488,4.61315115292867e-07,-4324935.166666667,15129117.590413412,-4297861.458333333,100681.828125,5.507376044988632e-06,-6315434.833333333,18230714.028320312,29090542.666666668,299.11670176188153,273.1601740519206,-0.001729420735500753,0.0014855787286857474,-0.9811129570007324,1.7538834412892659,0.22802734375,0.19643402099609375,0.17586517333984375,0.23190816243489584
5982,Eucalyptus,-4.5224796,39.1836572,0.7110319321666968,0.3340396228414027,0.5010063559322034,-16.98032417390973,-12.54802893064261,0.7389746392429103,30,1.3134900700638203,294.1348368326823,-0.0008902257347169021,-0.0002881548910712202,-0.0005486197187565267,-2.4202357356746993e-06,0.17000517373283705,297.5828450520833,-273.15,4.221598309565403e-05,29.090332031249996,298.3067220052083,-272.44682737588886,24.83868815104169,5.596466064453125,1.6836344401041667,-0.010519321697453657,5.969622482856114e-06,7.268041372299193e-05,300.34206517537433,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.13656997680664,301.107474009196,301.0477460225423,301.0875434875488,4.61315115292867e-07,-4324935.166666667,15129117.590413412,-4297861.458333333,100681.828125,5.507376044988632e-06,-6315434.833333333,18230714.028320312,29090542.666666668,299.11670176188153,273.1601740519206,-0.001729420735500753,0.0014855787286857474,-0.9811129570007324,1.7538834412892659,0.22802734375,0.19643402099609375,0.17586517333984375,0.23190816243489584
5932,Eucalyptus,-4.4722812,39.1899285,1.5026941657376438,0.29884526558891455,0.4482264917790505,-14.763931128862257,-6.612563946155338,0.44788639884863224,97,3.71607477616149,294.1348368326823,-0.0008902257347169021,-0.0002881548910712202,-0.0005486197187565267,-2.4202357356746993e-06,0.17000517373283705,297.5828450520833,-273.15,4.221598309565403e-05,29.090332031249996,298.3067220052083,-272.44682737588886,24.83868815104169,5.596466064453125,1.6836344401041667,-0.010519321697453657,5.969622482856114e-06,7.268041372299193e-05,300.34206517537433,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.13656997680664,301.107474009196,301.0477460225423,301.0875434875488,4.61315115292867e-07,-4324935.166666667,15129117.590413412,-4297861.458333333,100681.828125,5.507376044988632e-06,-6315434.833333333,18230714.028320312,29090542.666666668,299.11670176188153,273.1601740519206,-0.001729420735500753,0.0014855787286857474,-0.9811129570007324,1.7538834412892659,0.22802734375,0.19643402099609375,0.17586517333984375,0.23190816243489584
5806,Musa,-4.3089696,39.4565392,0.8946348813431632,0.35459102058227576,0.5318298144593729,-14.178224022916211,-7.658438167678623,0.5401549697127311,130,5.63898929031391,294.32054646809894,-0.0011412772970894973,-0.00041670208641638357,-0.0005780481151305139,3.8805107275644936e-11,0.159256628404061,297.2870279947917,-273.15,4.221598309565403e-05,26.145751953124996,298.5254720052083,-272.41643886168805,24.733911132812523,2.263824462890625,1.917572021484375,-0.00628010556101799,1.9423508395751316e-05,6.91289703051249e-05,300.7979571024577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.6186663309733,301.5765495300293,301.48410669962567,301.48337682088214,2.4201969305674234e-06,-5341777.916666667,15358807.423746744,-4291350.291666667,100147.328125,1.7002845803896587e-05,-5518249.666666667,18262122.528320312,29298892.666666668,298.84114837646484,273.1601740519206,-0.0021360275568440557,0.00199595902161794,-1.0873955090840657,2.1190364360809326,0.21418635050455728,0.1946741739908854,0.17188898722330728,0.23131179809570312
5771,Musa,-4.2955492,39.4398417,1.9273579379027534,0.6005019393109742,0.9006501653929508,-14.74972471997562,-8.749977600471833,0.5932298918515881,245,11.092393271969508,293.89183553059894,-0.0011334058945067227,-0.000353301758877933,-0.000546222358631591,3.8805107275644936e-11,0.16010476276278496,297.5961100260417,-273.15,4.221598309565403e-05,22.31624348958333,298.3949381510417,-272.44475218057636,24.853743489583355,4.668833414713542,1.7761332194010417,-0.0067368171488245325,1.3274140655994415e-05,6.615122159322101e-05,300.422306060791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.2602678934733,301.2264518737793,301.1620038350423,301.2013130187988,1.747782031695048e-06,-5083951.25,15243620.590413412,-4197871.291666667,99469.66145833333,1.152651384472847e-05,-5756834.5,18139763.861653645,29249366.083333332,298.50862884521484,273.1601740519206,-0.0020329299926136932,0.001848339116046797,-0.8981865247090658,1.8089778423309326,0.21637725830078125,0.19168217976888022,0.15768941243489584,0.2236506144205729
5763,Eucalyptus,-4.2955415,39.4398358,1.9273579379027534,0.6005019393109742,0.9006501653929508,-14.74972471997562,-8.749977600471833,0.5932298918515881,245,11.092393271969508,293.89183553059894,-0.0011334058945067227,-0.000353301758877933,-0.000546222358631591,3.8805107275644936e-11,0.16010476276278496,297.5961100260417,-273.15,4.221598309565403e-05,22.31624348958333,298.3949381510417,-272.44475218057636,24.853743489583355,4.668833414713542,1.7761332194010417,-0.0067368171488245325,1.3274140655994415e-05,6.615122159322101e-05,300.422306060791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.2602678934733,301.2264518737793,301.1620038350423,301.2013130187988,1.747782031695048e-06,-5083951.25,15243620.590413412,-4197871.291666667,99469.66145833333,1.152651384472847e-05,-5756834.5,18139763.861653645,29249366.083333332,298.50862884521484,273.1601740519206,-0.0020329299926136932,0.001848339116046797,-0.8981865247090658,1.8089778423309326,0.21637725830078125,0.19168217976888022,0.15768941243489584,0.2236506144205729
5772,Musa,-4.2954878,39.4423249,9.8619957537155,0.22036846683007827,0.3305265654648956,-16.63191288428759,-9.910625298207016,0.5958800630545467,239,4.142969429389717,293.89183553059894,-0.0011334058945067227,-0.000353301758877933,-0.000546222358631591,3.8805107275644936e-11,0.16010476276278496,297.5961100260417,-273.15,4.221598309565403e-05,22.31624348958333,298.3949381510417,-272.44475218057636,24.853743489583355,4.668833414713542,1.7761332194010417,-0.0067368171488245325,1.3274140655994415e-05,6.615122159322101e-05,300.422306060791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,301.2602678934733,301.2264518737793,301.1620038350423,301.2013130187988,1.747782031695048e-06,-5083951.25,15243620.590413412,-4197871.291666667,99469.66145833333,1.152651384472847e-05,-5756834.5,18139763.861653645,29249366.083333332,298.50862884521484,273.1601740519206,-0.0020329299926136932,0.001848339116046797,-0.8981865247090658,1.8089778423309326,0.21637725830078125,0.19168217976888022,0.15768941243489584,0.2236506144205729
5694,Musa,-4.0765856,39.4119583,0.337275208172976,0.1917644718519992,0.28761810044753855,-17.988127156960164,-12.095572631450079,0.672419787002113,249,5.402180172297018,293.4872131347656,-0.0010154912985550861,-0.00041224291392912466,-0.0004662126302719116,3.8805107275644936e-11,0.18554243569572768,297.5016276041667,-273.15,4.221598309565403e-05,19.954427083333332,298.0855305989583,-272.44599132140485,24.676131184895855,1.98388671875,2.4862263997395835,-0.006442731556793054,6.3121939698855085e-06,6.245325009028115e-05,299.863712310791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.49089940388996,300.4425977071126,300.35666529337567,300.4080187479655,1.3474685450394948e-06,-4736382.333333333,14457187.923746744,-4068236.5833333335,98941.16145833333,4.96332844098409e-06,-5446613.166666667,17765777.861653645,29147968.083333332,298.23535410563153,273.1601740519206,-0.0018939465905229251,0.0016101229443847842,-0.6549410820007324,1.4955012798309326,0.13089116414388022,0.11181386311848958,0.0875091552734375,0.1314417521158854
