uid,species,latitude,longitude,EVI,NDVI,SAVI,VH,VV,VV_VH_ratio,elevation,slope
6042,Acacia,-4.5374288,39.139728,0.4760820045558087,0.2512623226737196,0.3768481788676524,-18.147270683169857,-12.8767346741662,0.7095686673207746,73,4.732798859726558
5988,Eucalyptus,-4.5224921,39.1836801,0.7110319321666968,0.3340396228414027,0.5010063559322034,-16.98032417390973,-12.54802893064261,0.7389746392429103,30,1.3134900700638203
5985,Eucalyptus,-4.5224869,39.1836769,0.7110319321666968,0.3340396228414027,0.5010063559322034,-16.98032417390973,-12.54802893064261,0.7389746392429103,30,1.3134900700638203
5982,Eucalyptus,-4.5224796,39.1836572,0.7110319321666968,0.3340396228414027,0.5010063559322034,-16.98032417390973,-12.54802893064261,0.7389746392429103,30,1.3134900700638203
5932,Eucalyptus,-4.4722812,39.1899285,1.5026941657376438,0.29884526558891455,0.4482264917790505,-14.763931128862257,-6.612563946155338,0.44788639884863224,97,3.71607477616149
5806,Musa,-4.3089696,39.4565392,0.8946348813431632,0.35459102058227576,0.5318298144593729,-14.178224022916211,-7.658438167678623,0.5401549697127311,130,5.63898929031391
5771,Musa,-4.2955492,39.4398417,1.9273579379027534,0.6005019393109742,0.9006501653929508,-14.74972471997562,-8.749977600471833,0.5932298918515881,245,11.092393271969508
5763,Eucalyptus,-4.2955415,39.4398358,1.9273579379027534,0.6005019393109742,0.9006501653929508,-14.74972471997562,-8.749977600471833,0.5932298918515881,245,11.092393271969508
5772,Musa,-4.2954878,39.4423249,9.8619957537155,0.22036846683007827,0.3305265654648956,-16.63191288428759,-9.910625298207016,0.5958800630545467,239,4.142969429389717
5694,Musa,-4.0765856,39.4119583,0.337275208172976,0.1917644718519992,0.28761810044753855,-17.988127156960164,-12.095572631450079,0.672419787002113,249,5.402180172297018
5712,Musa,-4.0765548,39.4119787,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,249,5.402180172297018
5696,Eucalyptus,-4.076513,39.4119863,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,249,5.402180172297018
5699,Musa,-4.0765105,39.4119801,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,248,4.149016309504195
5705,Musa,-4.0764864,39.4119135,0.337275208172976,0.1917644718519992,0.28761810044753855,-17.988127156960164,-12.095572631450079,0.672419787002113,248,4.149016309504195
5695,Musa,-4.076391,39.4121397,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,245,3.8275682730665275
5665,Acacia,-4.0006126,39.3975862,0.230884712947145,0.15016835016835017,0.22523356619813145,-19.732621748177316,-14.529465844951835,0.7363170505355634,188,3.9336274829746625
5667,Acacia,-4.0006117,39.3975765,0.230884712947145,0.15016835016835017,0.22523356619813145,-19.732621748177316,-14.529465844951835,0.7363170505355634,188,3.9336274829746625
6043,Acacia,-4.000412,39.3985954,0.31733366069236435,0.19884615384615384,0.2982405537929045,-17.872595375789984,-12.988310517302587,0.7267165313268606,188,3.704791833623834
5680,Acacia,-4.0003982,39.3985974,0.31733366069236435,0.19884615384615384,0.2982405537929045,-17.872595375789984,-12.988310517302587,0.7267165313268606,188,3.704791833623834
5652,Acacia,-3.9997049,39.3982666,0.3458107910513233,0.19966230476994512,0.29946185501741057,-18.06747946848543,-12.738222075712127,0.7050359236843762,190,1.3130425884476133
5675,Eucalyptus,-3.9996672,39.3985723,0.4078320325989364,0.24195861503790206,0.3629007477209874,-17.014914537053443,-11.814822252465188,0.6943803465328025,190,1.3130423654359291
5664,Acacia,-3.9996008,39.3985359,0.4078320325989364,0.24195861503790206,0.3629007477209874,-17.014914537053446,-11.814822252465188,0.6943803465328023,190,1.3130423654359291
