uid,species,latitude,longitude
3361,Grevillea,-0.2932611,34.9454123
3347,Grevillea,-0.2932437,34.9451857
3364,Eucalyptus,-0.2932427,34.9454968
3342,Grevillea,-0.2932313,34.9452813
3359,Acacia,-0.2932143,34.9452315
3350,Eucalyptus,-0.2932131,34.9451754
3354,Grevillea,-0.2931973,34.9451667
3348,Grevillea,-0.2931686,34.9452289
3351,Eucalyptus,-0.2931667,34.9452283
3353,Grevillea,-0.2931633,34.9452317
3358,Eucalyptus,-0.2931576,34.9454829
3355,Grevillea,-0.2931307,34.9452743
2667,Acacia,-0.2690587,37.8890525
1590,Eucalyptus,-0.2690445,37.8894057
2032,Acacia,-0.2546256,36.878083
2044,Acacia,-0.254595,36.8776217
2031,Acacia,-0.254437,36.8779569
2043,Acacia,-0.2543076,36.8771746
2080,Acacia,-0.2542034,36.8778564
2065,Acacia,-0.2541729,36.8773523
2063,Acacia,-0.2541129,36.8771487
2078,Acacia,-0.254081,36.8770963
2064,Acacia,-0.2539702,36.877219
2027,Acacia,-0.25397,36.8765336
2077,Acacia,-0.2539278,36.8768512
2041,Acacia,-0.2539153,36.8768997
2042,Acacia,-0.253914,36.8768119
2026,Acacia,-0.2538521,36.8765434
2079,Acacia,-0.2538266,36.8779921
2028,Acacia,-0.2537617,36.876546
2055,Acacia,-0.2537584,36.876364
2057,Acacia,-0.2537508,36.876411
2056,Acacia,-0.2537488,36.8763624
2029,Acacia,-0.2537337,36.8768559
2073,Acacia,-0.2537324,36.8760308
2030,Acacia,-0.2537221,36.8768673
2062,Acacia,-0.2536755,36.8767597
2058,Acacia,-0.2536469,36.8765979
2037,Acacia,-0.2536331,36.8762038
2059,Acacia,-0.253633,36.8764831
2038,Acacia,-0.2536182,36.8760624
2039,Acacia,-0.2535362,36.8760923
2075,Acacia,-0.253482,36.8763493
2061,Acacia,-0.2534426,36.8766798
2023,Acacia,-0.2534101,36.8758267
2025,Acacia,-0.2533982,36.8760827
2040,Acacia,-0.253395,36.8762777
2060,Acacia,-0.2533825,36.8763925
2074,Acacia,-0.2533781,36.8765593
2076,Acacia,-0.2532991,36.8763029
2024,Acacia,-0.2531793,36.8760574
2072,Acacia,-0.2010292,36.8379769
2083,Acacia,-0.2008397,36.8384449
2082,Acacia,-0.2008133,36.83814
2052,Acacia,-0.2005718,36.8382485
2071,Acacia,-0.2005377,36.8374105
2051,Acacia,-0.2005161,36.8380935
2054,Acacia,-0.2003846,36.8384249
2053,Acacia,-0.2003625,36.8384086
2049,Acacia,-0.2003518,36.8378397
2050,Acacia,-0.2002823,36.8376704
2048,Acacia,-0.2001603,36.8378679
2022,Acacia,-0.2001534,36.8379087
2018,Acacia,-0.2000813,36.8377736
2017,Acacia,-0.2000047,36.8377905
2070,Acacia,-0.1999894,36.8373567
2021,Acacia,-0.1999449,36.8377593
2069,Acacia,-0.1999373,36.8372023
2020,Acacia,-0.199897,36.8375361
2999,Eucalyptus,-0.1864542,36.3819082
1523,Acacia,-0.1864004,36.3823419
3030,Eucalyptus,-0.1862512,36.3817189
3031,Eucalyptus,-0.1862408,36.3817058
3029,Eucalyptus,-0.1862302,36.3817113
1525,Acacia,-0.1857258,36.3822969
2236,Grevillea,-0.1729645,37.8291555
2309,Grevillea,-0.1727016,37.8287739
3959,Acacia,-0.1572599,34.9726737
3953,Acacia,-0.1572239,34.971829
3334,Acacia,-0.1473191,35.0323877
3335,Acacia,-0.14726,35.0323867
3336,Acacia,-0.147244,35.0324338
3326,Acacia,-0.1472161,35.0329108
3309,Acacia,-0.1471984,35.032461
3319,Acacia,-0.1471788,35.0325837
3321,Acacia,-0.1471566,35.0327397
3325,Acacia,-0.1471504,35.03251
3322,Acacia,-0.1471446,35.0327513
3324,Acacia,-0.1471377,35.0326963
3332,Acacia,-0.1471261,35.0324343
3313,Eucalyptus,-0.1471178,35.0328319
3328,Acacia,-0.1471153,35.0324942
3323,Acacia,-0.1471103,35.0328018
3312,Acacia,-0.1470175,35.0324933
3310,Eucalyptus,-0.1470127,35.0325123
3317,Grevillea,-0.1469553,35.0329093
3315,Eucalyptus,-0.1469202,35.0328087
3316,Eucalyptus,-0.1468903,35.0328365
3318,Grevillea,-0.1468902,35.032703
3320,Acacia,-0.1468841,35.032617
3314,Eucalyptus,-0.1468761,35.0325345
3842,Acacia,-0.097165,34.8425105
3850,Acacia,-0.0970672,34.8424443
3855,Acacia,-0.0969702,34.8426958
3839,Acacia,-0.0969232,34.8420689
3846,Acacia,-0.0969226,34.8421902
3857,Acacia,-0.0968608,34.8426558
3844,Acacia,-0.0967882,34.8419171
3848,Acacia,-0.0967627,34.8418106
3865,Acacia,-0.0967542,34.8422645
3852,Acacia,-0.0967383,34.8418499
3860,Acacia,-0.0966966,34.8422359
3841,Acacia,-0.0966932,34.8415323
3847,Acacia,-0.0966752,34.8416183
3859,Acacia,-0.0966726,34.8424012
3863,Acacia,-0.0966608,34.8425397
3851,Acacia,-0.0966605,34.8416456
3843,Acacia,-0.0966559,34.8415829
3853,Acacia,-0.096633,34.8422884
3869,Acacia,-0.0966236,34.8423219
3854,Acacia,-0.0965763,34.8416673
3873,Acacia,-0.0965719,34.8425905
3856,Acacia,-0.0965641,34.8416245
3849,Acacia,-0.0965634,34.8422754
3879,Acacia,-0.0965632,34.8424866
3870,Acacia,-0.0965605,34.8422045
3888,Acacia,-0.096514,34.8419905
3864,Acacia,-0.0964691,34.8416618
3861,Acacia,-0.0964544,34.841671
3887,Acacia,-0.0964449,34.842009
3867,Acacia,-0.0964434,34.841709
