uid,species,latitude,longitude,EVI,NDVI,SAVI
6042,Acacia,-4.5374288,39.139728,0.4760820045558087,0.2512623226737196,0.3768481788676524
5988,Eucalyptus,-4.5224921,39.1836801,0.7110319321666968,0.3340396228414027,0.5010063559322034
5985,Eucalyptus,-4.5224869,39.1836769,0.7110319321666968,0.3340396228414027,0.5010063559322034
5982,Eucalyptus,-4.5224796,39.1836572,0.7110319321666968,0.3340396228414027,0.5010063559322034
5932,Eucalyptus,-4.4722812,39.1899285,1.5026941657376438,0.29884526558891455,0.4482264917790505
5806,Musa,-4.3089696,39.4565392,0.8946348813431632,0.35459102058227576,0.5318298144593729
5771,Musa,-4.2955492,39.4398417,1.9273579379027534,0.6005019393109742,0.9006501653929508
5763,Eucalyptus,-4.2955415,39.4398358,1.9273579379027534,0.6005019393109742,0.9006501653929508
5772,Musa,-4.2954878,39.4423249,9.8619957537155,0.22036846683007827,0.3305265654648956
5694,Musa,-4.0765856,39.4119583,0.337275208172976,0.1917644718519992,0.28761810044753855
5712,Musa,-4.0765548,39.4119787,0.42616961657148933,0.24477946419476418,0.3671317987370136
5696,Eucalyptus,-4.076513,39.4119863,0.42616961657148933,0.24477946419476418,0.3671317987370136
5699,Musa,-4.0765105,39.4119801,0.42616961657148933,0.24477946419476418,0.3671317987370136
5705,Musa,-4.0764864,39.4119135,0.337275208172976,0.1917644718519992,0.28761810044753855
5695,Musa,-4.076391,39.4121397,0.42616961657148933,0.24477946419476418,0.3671317987370136
5665,Acacia,-4.0006126,39.3975862,0.230884712947145,0.15016835016835017,0.22523356619813145
5667,Acacia,-4.0006117,39.3975765,0.230884712947145,0.15016835016835017,0.22523356619813145
6043,Acacia,-4.000412,39.3985954,0.31733366069236435,0.19884615384615384,0.2982405537929045
5680,Acacia,-4.0003982,39.3985974,0.31733366069236435,0.19884615384615384,0.2982405537929045
5652,Acacia,-3.9997049,39.3982666,0.3458107910513233,0.19966230476994512,0.29946185501741057
5675,Eucalyptus,-3.9996672,39.3985723,0.4078320325989364,0.24195861503790206,0.3629007477209874
5664,Acacia,-3.9996008,39.3985359,0.4078320325989364,0.24195861503790206,0.3629007477209874
5656,Acacia,-3.9996008,39.3984232,0.3458107910513233,0.19966230476994512,0.29946185501741057
5662,Acacia,-3.9995657,39.3984427,0.32135535994211983,0.20181749337372207,0.3026975863700899
5668,Acacia,-3.9995174,39.3984937,0.21212548798269132,0.14806303348653974,0.22207632334837915
