NDVI,EVI,SAVI,VV,VH,VV_minus_VH,NVDI_squared,NVDI_elevation,total_precipitation,temperature_2m,slope,VV_VH_ratio,species
0.2512623226737196,0.4760820045558087,0.3768481788676524,-12.8767346741662,-18.147270683169857,5.270536009003658,0.06313275479539239,18.342149555181532,0.0012821139275729,299.0244166056316,4.732798859726558,0.7095686673207746,Acacia
0.3340396228414027,0.7110319321666968,0.5010063559322034,-12.54802893064261,-16.98032417390973,4.432295243267118,0.11158246962802656,10.02118868524208,0.0014855787286857,299.1167017618816,1.3134900700638203,0.7389746392429103,Eucalyptus
0.3340396228414027,0.7110319321666968,0.5010063559322034,-12.54802893064261,-16.98032417390973,4.432295243267118,0.11158246962802656,10.02118868524208,0.0014855787286857,299.1167017618816,1.3134900700638203,0.7389746392429103,Eucalyptus
0.3340396228414027,0.7110319321666968,0.5010063559322034,-12.54802893064261,-16.98032417390973,4.432295243267118,0.11158246962802656,10.02118868524208,0.0014855787286857,299.1167017618816,1.3134900700638203,0.7389746392429103,Eucalyptus
0.2988452655889145,1.5026941657376438,0.4482264917790505,-6.612563946155338,-14.763931128862255,8.151367182706917,0.08930849276490885,28.987990762124706,0.0014855787286857,299.1167017618816,3.71607477616149,0.4478863988486322,Eucalyptus
0.3545910205822757,0.8946348813431632,0.5318298144593729,-7.658438167678623,-14.178224022916211,6.519785855237588,0.12573479187757988,46.09683267569584,0.0019959590216179,298.84114837646484,5.63898929031391,0.5401549697127311,Musa
0.6005019393109742,1.9273579379027532,0.9006501653929508,-8.749977600471833,-14.74972471997562,5.999747119503786,0.3606025791162409,147.12297513118867,0.0018483391160467,298.50862884521484,11.092393271969508,0.5932298918515881,Musa
0.6005019393109742,1.9273579379027532,0.9006501653929508,-8.749977600471833,-14.74972471997562,5.999747119503786,0.3606025791162409,147.12297513118867,0.0018483391160467,298.50862884521484,11.092393271969508,0.5932298918515881,Eucalyptus
0.2203684668300782,9.8619957537155,0.3305265654648956,-9.910625298207016,-16.63191288428759,6.7212875860805745,0.04856226117303928,52.6680635723887,0.0018483391160467,298.50862884521484,4.142969429389717,0.5958800630545467,Musa
0.1917644718519992,0.337275208172976,0.2876181004475385,-12.09557263145008,-17.988127156960164,5.892554525510084,0.0367736126646762,47.7493534911478,0.0016101229443847,298.2353541056316,5.402180172297018,0.672419787002113,Musa
0.2447794641947641,0.4261696165714893,0.3671317987370136,-14.03623011842777,-19.767005112366974,5.730774993939203,0.0599169860914758,60.95008658449626,0.0016101229443847,298.2353541056316,5.402180172297018,0.7100838006889664,Musa
0.2447794641947641,0.4261696165714893,0.3671317987370136,-14.03623011842777,-19.767005112366974,5.730774993939203,0.0599169860914758,60.95008658449626,0.0016101229443847,298.2353541056316,5.402180172297018,0.7100838006889664,Eucalyptus
0.2447794641947641,0.4261696165714893,0.3671317987370136,-14.03623011842777,-19.767005112366974,5.730774993939203,0.0599169860914758,60.7053071203015,0.0016101229443847,298.2353541056316,4.149016309504195,0.7100838006889664,Musa
0.1917644718519992,0.337275208172976,0.2876181004475385,-12.09557263145008,-17.988127156960164,5.892554525510084,0.0367736126646762,47.557589019295804,0.0016101229443847,298.2353541056316,4.149016309504195,0.672419787002113,Musa
0.2447794641947641,0.4261696165714893,0.3671317987370136,-14.03623011842777,-19.767005112366974,5.730774993939203,0.0599169860914758,59.97096872771721,0.0016101229443847,298.2353541056316,3.827568273066528,0.7100838006889664,Musa
0.1501683501683501,0.230884712947145,0.2252335661981314,-14.529465844951837,-19.73262174817732,5.203155903225483,0.02255053339228421,28.23164983164982,0.0014353587110538,298.40592702229816,3.9336274829746634,0.7363170505355634,Acacia
0.1501683501683501,0.230884712947145,0.2252335661981314,-14.529465844951837,-19.73262174817732,5.203155903225483,0.02255053339228421,28.23164983164982,0.0014353587110538,298.40592702229816,3.9336274829746634,0.7363170505355634,Acacia
